ID,Before Exposure to video,Post-exposure to video
1,1,1
2,7,7
3,7,5
4,10,5
5,5,4
6,7,5
7,6,5
8,5,0
9,7,6
10,0,0
11,8,7
12,7,6
13,6,6
14,7,4
15,1,-5
16,2,0
17,5,-8
18,1,-5
19,3,-10
20,3,3
21,-9,-10
22,10,10
23,-10,-10
24,10,5
25,5,4
26,10,10
27,0,0
28,-5,-10
29,-9,-10
30,10,9
31,0,0
32,0,-2
33,10,10
34,5,2
35,10,10
36,2,0
37,-9,-10
38,5,1
39,5,5
40,0,0
41,1,-10
42,4,0
43,8,10
44,4,-10
45,8,6
46,10,10
47,9,6
48,9,4
49,10,10
50,5,-6
51,7,7
52,8,-5
53,10,9
54,5,1
55,-8,-10
56,10,10
57,-2,-5
58,4,-7
59,8,7
60,10,10
61,5,-10
62,5,4
63,4,-10
64,-9,-10
65,8,5
66,-1,-10
67,5,2
68,8,7
69,9,-9
70,0,-10
71,5,2
72,0,-5
73,-3,-7
74,-5,-10
75,10,10
76,8,7
77,-8.999,-9.9999
78,-8,-10
79,-10,-10
80,3,5
81,3,5
82,3,-3
83,-5,-10
84,6,4
85,1,-10
86,2,0
87,8,6
88,10,10
